"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Elizabeth_B._Cloude",3,NA,NA,NA,3
"Elizabeth_Carter",1,1,NA,NA,NA
"Elizabeth_K._Morales-Urrutia",3,NA,NA,NA,3
"Elizabeth_L._Tighe",3,NA,NA,3,NA
"Elizabeth_M._Gerber",2,NA,NA,2,NA
"Elizabeth_McBride",5,NA,NA,NA,5
"Elizabeth_McLaughlin",5,3,NA,NA,3
"Elizabeth_Rodriguez",3,NA,NA,NA,3
"Elliot_Adderton",10,NA,NA,10,NA
"Elmira_Yadollahi",4,NA,NA,NA,4
"Elvira_Popescu",3,NA,3,NA,NA
"Emily_Feitl_Blackstock",3,3,NA,NA,NA
"Emily_Schneider",1,1,NA,NA,NA
"Emily_Weigel",5,NA,NA,NA,5
"Emma_Brunskill",2,NA,NA,NA,2
"Emmanouela_Papapesiou",3,NA,NA,NA,3
"Emmanuel_Ayedoun",2,NA,NA,2,2
"Emmanuel_G._Blanchard",4,4,0,NA,NA
"Emmanuel_Johnson",5,NA,NA,4,3
"Engin_Bumbacher",8,3,NA,6,NA
"Enrique_Hortal",7,NA,NA,7,NA
"Enruo_Guo",2,NA,2,NA,NA
"Entisar_Abolkasim",3,NA,NA,3,NA
"Erfan_Al-Hossami",8,NA,NA,NA,8
"Eric_Butler",3,NA,NA,NA,3
"Eric_Cosyn",4,NA,NA,NA,4
"Eric_Domeshek",4,NA,NA,4,NA
"Eric_G._Van_Inwegen",6,NA,6,NA,NA
"Eric_Nyberg",2,NA,NA,2,NA
"Eric_Poitras",12,10,4,NA,NA
"Eric_Wiebe",14,4,9,8,7
"Erica_L._Snow",21,4,11,10,NA
"Erik_Anderberg",5,2,3,3,NA
"Erik_Andersen",3,NA,NA,NA,3
"Erik_Erickson",2,NA,NA,2,NA
"Erik_Harpstead",8,NA,NA,3,8
"Erin_Ottmar",5,NA,NA,5,NA
"Erin_Solovey",3,NA,NA,NA,3
"Erin_Walker",30,6,10,10,14
"Ermal_Toto",3,3,NA,NA,NA
"Ethan_Tu",2,NA,NA,NA,2
"Eugene_Tsuprun",7,NA,NA,NA,7
"Eva_Millán",3,NA,3,NA,NA
"Eva_Torrecilla_Sánchez",2,NA,NA,NA,2
"Eva-Maria_Ternblad",4,NA,NA,3,1
"Evaggelos_Spyrou",7,NA,NA,7,NA
"Evelyn_Yarzebinski",17,9,5,9,NA
"Evi_Chryssafidou",1,NA,NA,1,NA
"Élise_Lavoué",5,NA,3,NA,2
"Fabiano_Dorça",0,NA,0,NA,NA
"Fabio_Milner",3,NA,NA,NA,3
"Fabrice_Popineau",3,NA,NA,3,NA
"Fabrizio_Renzi",11,NA,NA,11,NA
"Fakhri_Abbas",5,NA,NA,NA,5
"Fazel_Keshtkar",5,5,NA,NA,NA
"Fernando_J._Rodríguez",2,2,1,NA,NA
"Fernando_Nabais",7,7,NA,NA,NA
